,f1-score,precision,recall,support
1,0.9073856975381008,0.9347826086956522,0.8815489749430524,439.0
2,0.9475806451612904,0.9003831417624522,1.0,470.0
3,0.970747562296858,1.0,0.9431578947368421,475.0
accuracy,0.9429190751445087,0.9429190751445087,0.9429190751445087,0.9429190751445087
macro avg,0.9419046349987497,0.9450552501527015,0.9415689565599649,1384.0
weighted avg,0.9427820206185262,0.9454838452642657,0.9429190751445087,1384.0
