,f1-score,precision,recall,support
1,0.9318734793187348,1.0,0.8724373576309795,439.0
2,0.9437751004016064,0.8935361216730038,1.0,470.0
3,1.0,1.0,1.0,475.0
accuracy,0.9595375722543352,0.9595375722543352,0.9595375722543352,0.9595375722543352
macro avg,0.958549526573447,0.9645120405576679,0.9574791192103266,1384.0
weighted avg,0.9592967880127743,0.9638453592386645,0.9595375722543352,1384.0
